gene_id	slope	rsq	corr	pval	median	abs_corr	testsig
ENSG00000256553_TRAV1-2	-0.020840487338957294	0.12226925133309818	-0.3496702036678249	1.2193737323649387e-11	-0.22083098066292636	0.3496702036678249	True
ENSG00000109943_CRTAM	-0.020828666319788285	0.1221305849737554	-0.34947186578286277	1.2456401008586742e-11	-0.14867317266573932	0.34947186578286277	True
ENSG00000166582_CENPV	-0.02082386316927749	0.12207426413828415	-0.34939127656294483	1.250376491114207e-11	-0.15503888277467845	0.34939127656294483	True
ENSG00000137404_NRM	0.020817068996975677	0.12199461913918885	0.34927728116668133	1.2614806088680679e-11	-0.058604945410870704	0.34927728116668133	True
ENSG00000132386_SERPINF1	-0.020813673397098123	0.1219548238030772	-0.34922030840585044	1.2619838649206793e-11	-0.2348480063392387	0.34922030840585044	True
ENSG00000106244_PDAP1	0.020773308223539778	0.1214822542505023	0.3485430450468095	1.3847484820798888e-11	-0.06276427243433855	0.3485430450468095	True
ENSG00000170633_RNF34	0.020671940133394913	0.12029954628230421	0.34684224985186635	1.7628018075209815e-11	0.01942457158980815	0.34684224985186635	True
ENSG00000106327_TFR2	0.020669915077309437	0.12027597796754219	0.3468082726342356	1.7628018075209815e-11	-0.14034152867394364	0.3468082726342356	True
ENSG00000110025_SNX15	0.020622263561194863	0.11972205926015311	0.3460087560454983	1.9681491310232794e-11	-0.1438865077789458	0.3460087560454983	True
ENSG00000100100_PIK3IP1	-0.020602232215437156	0.11948958921930342	-0.3456726619495727	2.0520283572744518e-11	-0.15530896862092045	0.3456726619495727	True
ENSG00000246223_LINC01550	-0.020587870071473904	0.11932305109907193	-0.3454316880355245	2.1097582380180394e-11	-0.0474270376167322	0.3454316880355245	True
ENSG00000134987_WDR36	-0.02057235342870561	0.11914325635237288	-0.3451713434692587	2.169889753179871e-11	-0.08166406474756216	0.3451713434692587	True
ENSG00000157349_DDX19B	0.020570290536922994	0.11911936338139495	0.34513673142885676	2.169889753179871e-11	0.0066101440489781	0.34513673142885676	True
ENSG00000159733_ZFYVE28	0.02056260376229768	0.11903035417486085	0.34500775958644886	2.1931945629165068e-11	-0.14964309681253501	0.34500775958644886	True
ENSG00000196586_MYO6	0.02055985632908258	0.11899854827081913	0.34496166203046263	2.1931945629165068e-11	-0.16877877461271434	0.34496166203046263	True
ENSG00000092820_EZR	0.020554459799769314	0.11893608724342186	0.3448711168587794	2.2060874389113405e-11	-0.0107002858735132	0.3448711168587794	True
ENSG00000178951_ZBTB7A	0.020547587640283135	0.11885657057088428	0.34475581296170216	2.2272471355104345e-11	-0.053149455178147495	0.34475581296170216	True
ENSG00000185621_LMLN	-0.020532955360755934	0.11868735135561936	-0.3445103066028929	2.2920714818259087e-11	-0.1501057649144391	0.3445103066028929	True
ENSG00000143549_TPM3	0.020507191909063763	0.11838969547265743	0.3440780368937509	2.4242457714220213e-11	-0.09670491820344984	0.3440780368937509	True
ENSG00000172270_BSG	0.020488030609022677	0.1181685593290398	0.34375654078001167	2.5227342913834703e-11	-0.16363254798273635	0.34375654078001167	True
ENSG00000138442_WDR12	-0.020438857726090602	0.1176020123738758	-0.34293149807778783	2.8254090824671724e-11	-0.07048738744561606	0.34293149807778783	True
ENSG00000132485_ZRANB2	-0.020430795844615532	0.11750925704329973	-0.3427962325395361	2.8612375588626586e-11	-0.09534805314372455	0.3427962325395361	True
ENSG00000162783_IER5	0.020398160482203973	0.11713414739868477	0.3422486631072278	3.0768692402669275e-11	-0.09947017003112171	0.3422486631072278	True
ENSG00000111737_RAB35	0.02038843779306833	0.11702251110801065	0.34208553186010454	3.128696972136076e-11	-0.13585823202314096	0.34208553186010454	True
ENSG00000213420_GPC2	-0.0203447698879355	0.11652177088105675	-0.34135285392253056	3.455679780875629e-11	-0.1277452446137565	0.34135285392253056	True
ENSG00000131368_MRPS25	-0.020323629131276114	0.11627973535558545	-0.34099814567763476	3.6128455970899556e-11	-0.03790080983096725	0.34099814567763476	True
ENSG00000198932_GPRASP1	-0.020314227006379568	0.11617217349232978	-0.34084039298816937	3.670985404571186e-11	-0.1610700790692437	0.34084039298816937	True
ENSG00000139722_VPS37B	0.02025304479069783	0.11547345455400371	0.33981385279885756	4.228840731685551e-11	-0.0965607112052463	0.33981385279885756	True
ENSG00000111860_CEP85L	-0.02020132022218563	0.11488438879716145	-0.3389459968743716	4.7592656322451684e-11	-0.1258062873860166	0.3389459968743716	True
ENSG00000139433_GLTP	0.020188201165088595	0.11473522176767903	0.3387258799791934	4.879231566894506e-11	-0.0965618767392165	0.3387258799791934	True
ENSG00000072310_SREBF1	-0.020161641862271852	0.11443353238086418	-0.3382802571550166	5.166799253571587e-11	-0.1984808685861721	0.3382802571550166	True
ENSG00000060069_CTDP1	0.0201030373027602	0.11376924322769288	0.337296965933127	5.908349077543991e-11	0.0358769572282069	0.337296965933127	True
ENSG00000130940_CASZ1	0.020059528783129024	0.11327732006510782	0.3365669622305608	6.513935573399511e-11	-0.06738204106817175	0.3365669622305608	True
ENSG00000180644_PRF1	0.0200352816698561	0.11300363586999518	0.3361601342663869	6.857381588507334e-11	-0.11386378660530336	0.3361601342663869	True
ENSG00000282844_ACTN4	0.020016927232121638	0.1127966841358844	0.33585217601778977	7.117902365906798e-11	-0.10976662901788994	0.33585217601778977	True
ENSG00000068354_TBC1D25	0.019992227786832205	0.11251848992303759	0.33543775864240066	7.500787511847584e-11	-0.0354203839402785	0.33543775864240066	True
ENSG00000141425_RPRD1A	-0.019983350721565953	0.11241858987834841	-0.3352888156177423	7.61189997234151e-11	-0.120217280937631	0.3352888156177423	True
ENSG00000106351_AGFG2	0.019975309270380305	0.112328131904056	0.3351538928672258	7.7095463867856e-11	-0.1016289187925675	0.3351538928672258	True
ENSG00000134574_DDB2	0.019959156184401375	0.11214653648345807	0.3348828697969757	7.960737751933083e-11	-0.0453392455278463	0.3348828697969757	True
ENSG00000106397_PLOD3	0.01994829093711718	0.11202447038208219	0.3347005682428433	8.117551826982901e-11	-0.05123978253219125	0.3347005682428433	True
ENSG00000117479_SLC19A2	-0.01992326908520949	0.11174361406933375	-0.3342807413976066	8.560400269021137e-11	-0.09941484229085376	0.3342807413976066	True
ENSG00000166333_ILK	0.019895273267211622	0.11142979449330492	0.3338110161353351	9.090739009186275e-11	-0.1129755671391619	0.3338110161353351	True
ENSG00000079739_PGM1	0.019881900826539876	0.1112800516352147	0.33358664786710923	9.325124111809667e-11	-0.03541108697846925	0.33358664786710923	True
ENSG00000116667_C1orf21	0.019873493112486245	0.1111859546939501	0.3334455798086854	9.454052440851916e-11	-0.1741399913278557	0.3334455798086854	True
ENSG00000107485_GATA3	0.019826623806841755	0.11066213500588107	0.33265918746651374	1.0495976212529625e-10	0.0289178916472305	0.33265918746651374	True
ENSG00000145911_N4BP3	-0.01982278340853179	0.11061926885573525	-0.3325947516960171	1.0527245005480951e-10	-0.13904613425666873	0.3325947516960171	True
ENSG00000007047_MARK4	0.019817627766688307	0.11056173514273371	0.3325082482326322	1.0591750559487226e-10	-0.030628960288675552	0.3325082482326322	True
ENSG00000106330_MOSPD3	0.019798887741269148	0.11035273433617365	0.3321938204364641	1.1003406482074446e-10	-0.11926817536649295	0.3321938204364641	True
ENSG00000113319_RASGRF2	-0.019788166766693913	0.11023325605467105	-0.33201393954873504	1.1153474938408676e-10	-0.07257333162712931	0.33201393954873504	True
ENSG00000152256_PDK1	-0.019788071432621675	0.11023219390879302	-0.3320123399947555	1.1153474938408676e-10	-0.1409795547583003	0.3320123399947555	True
ENSG00000156162_DPY19L4	-0.01978166890713659	0.11016087313794942	-0.3319049158086536	1.1256084547591906e-10	-0.085702924150211	0.3319049158086536	True
ENSG00000160219_GAB3	0.019776065465941076	0.11009847268519968	0.3318108989849484	1.1279811173798777e-10	-0.054205471641512154	0.3318108989849484	True
ENSG00000110047_EHD1	0.01977579813777926	0.11009549613524405	0.3318064136439259	1.1279811173798777e-10	0.018679394453816903	0.3318064136439259	True
ENSG00000167664_TMIGD2	-0.019765165309613298	0.10997713815247412	-0.331628011712633	1.1498329713211513e-10	-0.16884788691937347	0.331628011712633	True
ENSG00000157216_SSBP3	0.019717063350317577	0.10944249262508055	0.33082093740433144	1.279767389135184e-10	-0.1225758394636365	0.33082093740433144	True
ENSG00000135974_C2orf49	-0.019691778085858706	0.1091619733681014	-0.33039669091578594	1.3500248480788886e-10	-0.0436637846507313	0.33039669091578594	True
ENSG00000197093_GAL3ST4	-0.01968303062483411	0.10906501127426693	-0.33024992244399837	1.3700887521491427e-10	-0.0873282733643887	0.33024992244399837	True
ENSG00000139644_TMBIM6	0.01965656168649756	0.10877187613019834	0.3298058157919571	1.449218833433346e-10	-0.06952854962598795	0.3298058157919571	True
ENSG00000281320_DYRK1B	0.01964922553661104	0.10869070039943374	0.32968272687454186	1.465953467979245e-10	-0.08479244279963125	0.32968272687454186	True
ENSG00000136997_MYC	-0.019626352736247514	0.10843780353793131	-0.3292989576933569	1.5375895522181706e-10	-0.1762432767760757	0.3292989576933569	True
ENSG00000087274_ADD1	0.019603982570062954	0.10819074905276249	0.32892362191360214	1.6107723273741048e-10	0.04130284727288015	0.32892362191360214	True
ENSG00000244509_APOBEC3C	0.019601079805096108	0.10815871178032788	0.3288749181380787	1.612724298444461e-10	-0.2404493109657766	0.3288749181380787	True
ENSG00000014216_CAPN1	0.01958799644607478	0.10801437208048192	0.3286554001997869	1.6533932836622573e-10	0.00802252368482805	0.3286554001997869	True
ENSG00000101367_MAPRE1	0.019580096130303124	0.1079272600002118	0.3285228454768581	1.6748173454717096e-10	-0.01173488765096855	0.3285228454768581	True
ENSG00000160691_SHC1	0.019564599937789022	0.10775649477283378	0.3282628440333047	1.7267296456301784e-10	0.040532439788189295	0.3282628440333047	True
ENSG00000110400_NECTIN1	0.019546598926107217	0.10755829664201333	0.32796081571128766	1.7862526272668827e-10	-0.1534871987891955	0.32796081571128766	True
ENSG00000287958_ENSG00000287958	0.019545324151789657	0.10754426779907544	0.32793942702742424	1.7862526272668827e-10	-0.11715386769589975	0.32793942702742424	True
ENSG00000149923_PPP4C	0.019541306448098216	0.10750005910860227	0.32787201635486113	1.793319938212498e-10	-0.050153907246842946	0.32787201635486113	True
ENSG00000115368_WDR75	-0.01952842265617604	0.10735835396504434	-0.32765584683482213	1.8378139134977608e-10	-0.0147201059594536	0.32765584683482213	True
ENSG00000140497_SCAMP2	0.019509480856460343	0.10715018823269717	0.32733803358714236	1.909997843195775e-10	-0.02445183948637665	0.32733803358714236	True
ENSG00000057935_MTA3	-0.01949161020409653	0.10695397934514783	-0.32703819248697524	1.980066224791517e-10	-0.07713798970674865	0.32703819248697524	True
ENSG00000175224_ATG13	0.01946577804713536	0.10667067579510381	0.3266047700127845	2.0818812895250076e-10	0.0395328901305552	0.3266047700127845	True
ENSG00000171314_PGAM1	0.01946535062469946	0.10666599137515242	0.326597598544681	2.0818812895250076e-10	-0.0391962897693172	0.326597598544681	True
ENSG00000151136_ABTB3	-0.01945397898142944	0.10654139939435969	-0.3264068004719876	2.126112445679845e-10	-0.1750952499280806	0.3264068004719876	True
ENSG00000181284_TMEM102	0.01942120489576705	0.1061827215484088	0.32585690348434965	2.2809401666855498e-10	-0.045705780300672946	0.32585690348434965	True
ENSG00000125384_PTGER2	0.01941761447388573	0.10614346491848425	0.32579666192041334	2.2880589607061043e-10	-0.0091731303800454	0.32579666192041334	True
ENSG00000164442_CITED2	0.0193274089721892	0.10515956603778187	0.32428315719102924	2.7995368646711217e-10	0.02457850248253155	0.32428315719102924	True
ENSG00000136111_TBC1D4	-0.019324193855420176	0.10512458233529309	-0.32422921264946664	2.805879123719062e-10	-0.08769843332261805	0.32422921264946664	True
ENSG00000105323_HNRNPUL1	0.019312430026074766	0.10499662965194789	0.3240318343187098	2.867789256933206e-10	0.15217049479934344	0.3240318343187098	True
ENSG00000257702_LBX2-AS1	0.019278587668224944	0.10462896798051835	0.32346401342424225	3.0825171517738106e-10	-0.12034843863642969	0.32346401342424225	True
ENSG00000166913_YWHAB	0.019266331071680697	0.10449597199343486	0.3232583672442756	3.153992621976793e-10	-0.1175063535228103	0.3232583672442756	True
ENSG00000114120_SLC25A36	-0.019252607901507488	0.10434716262388932	-0.32302811429330625	3.237930426472945e-10	-0.0694763076644091	0.32302811429330625	True
ENSG00000169221_TBC1D10B	0.019239031114106013	0.1042000449214393	0.3228003174122345	3.322989987341626e-10	-0.14295571523437112	0.3228003174122345	True
ENSG00000198885_ITPRIPL1	0.019200998242253912	0.10378847432236049	0.32216218636326727	3.605034365378678e-10	-0.1135398231629423	0.32216218636326727	True
ENSG00000166341_DCHS1	-0.01919716898569118	0.10374708136336919	-0.32209793753355387	3.61866625904618e-10	-0.19962309688611296	0.32209793753355387	True
ENSG00000164631_ZNF12	-0.019185388121824496	0.10361978600897237	-0.3219002733906455	3.6842249073152626e-10	-0.07982020423607225	0.3219002733906455	True
ENSG00000167315_ACAA2	0.019184949654056056	0.10361504975689662	0.32189291659944397	3.6842249073152626e-10	-0.0601977371641657	0.32189291659944397	True
ENSG00000233355_CHRM3-AS2	-0.0191800284299287	0.10356189898069901	-0.3218103462921895	3.707552365204769e-10	-0.11171973454152265	0.3218103462921895	True
ENSG00000135046_ANXA1	0.019154544791453305	0.10328688575494205	0.32138277140341853	3.9000887415575303e-10	-0.05606012477453335	0.32138277140341853	True
ENSG00000102984_ZNF821	0.019153423877879473	0.10327479752356528	0.3213639642579194	3.9000887415575303e-10	-0.11642077216728125	0.3213639642579194	True
ENSG00000105409_ATP1A3	0.019144147861385456	0.10317478963396098	0.3212083274667095	3.9638160122227565e-10	-0.111078364852209	0.3212083274667095	True
ENSG00000134287_ARF3	0.019127201211782508	0.10299220714060275	0.32092398966204233	4.0990560935955957e-10	-0.019249315104133302	0.32092398966204233	True
ENSG00000132376_INPP5K	0.019120141190889974	0.1029161904843684	0.32080553374960424	4.145289746586972e-10	-0.05624908919330155	0.32080553374960424	True
ENSG00000182718_ANXA2	0.019094183619289436	0.10263694139632895	0.32037000701739987	4.3746593653522455e-10	-0.08599423504404416	0.32037000701739987	True
ENSG00000076984_MAP2K7	0.019082803833650117	0.10251463835727359	0.3201790723287107	4.467319929734345e-10	-0.0016545151045610999	0.3201790723287107	True
ENSG00000182809_CRIP2	0.01908023534883661	0.10248704392472452	0.32013597724205306	4.472341597057069e-10	-0.2122361904900204	0.32013597724205306	True
ENSG00000073578_SDHA	0.019075379081341114	0.10243488092425912	0.32005449680368353	4.5005872641580735e-10	0.02626842097603975	0.32005449680368353	True
ENSG00000131127_ZNF141	-0.019064224297082603	0.10231511345860167	-0.319867337280007	4.5937500809872306e-10	-0.1319237667473265	0.319867337280007	True
ENSG00000170348_TMED10	-0.019047112224185415	0.1021315195308452	-0.31958022393578317	4.752078129233552e-10	-0.06176887345593565	0.31958022393578317	True
ENSG00000164118_CEP44	-0.019015214153024703	0.10178972802641184	-0.31904502507704424	5.059704781847562e-10	-0.19449282786154404	0.31904502507704424	True
ENSG00000090674_MCOLN1	0.019015110542819905	0.10178861876455991	0.31904328666273446	5.059704781847562e-10	-0.1403465406657384	0.31904328666273446	True
ENSG00000150093_ITGB1	0.019012606166668007	0.10176180848628835	0.31900126721737077	5.065183955310043e-10	-0.04642933625860505	0.31900126721737077	True
ENSG00000126581_BECN1	0.019009542139275647	0.101729011736447	0.3189498577150444	5.077136365990702e-10	0.00927173566670825	0.3189498577150444	True
ENSG00000179604_CDC42EP4	0.019002380697586384	0.10165237768057234	0.31882970012307876	5.136175340108565e-10	-0.11377853892342255	0.31882970012307876	True
ENSG00000169895_SYAP1	0.018974164087052117	0.1013507148479248	0.3183562703135039	5.446785951166743e-10	-0.06282572281714424	0.3183562703135039	True
ENSG00000186020_ZNF529	-0.0189710657959839	0.10131761843582887	-0.31830428592123766	5.460297381635526e-10	-0.0908951433219256	0.31830428592123766	True
ENSG00000011258_MBTD1	-0.018963728453523534	0.10123926139349815	-0.3181811769943317	5.526083880132811e-10	-0.10878383873461085	0.3181811769943317	True
ENSG00000067560_RHOA	0.01895399541339856	0.10113536695852832	0.31801787207408405	5.6227554488683e-10	-0.13973901590097185	0.31801787207408405	True
ENSG00000179855_GIPC3	-0.01895160657965903	0.1011098757259895	-0.31797779124647946	5.628057000078274e-10	-0.15131818059219382	0.31797779124647946	True
ENSG00000100450_GZMH	0.01892006624684664	0.10077361025654685	0.31744859466777753	6.012214105328884e-10	-0.18579486071140872	0.31744859466777753	True
ENSG00000235194_PPP1R3E	-0.01891403542440386	0.10070937677217906	-0.3173474070670485	6.065237223850663e-10	-0.118401032123491	0.3173474070670485	True
ENSG00000172985_SH3RF3	-0.018912227584112897	0.10069012569605607	-0.31731707438468565	6.065237223850663e-10	-0.14902528978918794	0.31731707438468565	True
ENSG00000146802_TMEM168	-0.018890362422101833	0.10045743674174301	-0.3169502117710967	6.340498056240864e-10	-0.09819804349344725	0.3169502117710967	True
ENSG00000189350_TOGARAM2	0.018877637008016195	0.10032213686022873	0.31673669957904893	6.494598656732721e-10	-0.1319720759098387	0.31673669957904893	True
ENSG00000181754_AMIGO1	-0.018875215506547985	0.10029640115815541	-0.3166960706389575	6.495025391776263e-10	-0.06700845193269919	0.3166960706389575	True
ENSG00000136770_DNAJC1	0.01887376418081328	0.10028097805987635	0.316671719703349	6.495025391776263e-10	-0.036120830899831396	0.316671719703349	True
ENSG00000198959_TGM2	0.018851122572655105	0.10004052144600606	0.31629182955935825	6.801215323066302e-10	-0.2914759942239844	0.31629182955935825	True
