ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	phase	genesym
ENSG00000260997.1_ENSG00000260997	285.91962403462	0.114196524140405	0.0579660941141332	1.97005725304789	0.0488318092973305	0.0824519142611947	Acute Phase	ENSG00000260997_ENSG00000260997
ENSG00000132386.11_SERPINF1	110.606980013415	0.120755880610178	0.0885261839444261	1.36406964843288	0.172545646242026	0.24969549608817	Acute Phase	ENSG00000132386_SERPINF1
ENSG00000068354.16_TBC1D25	871.383317415774	0.240039039626322	0.0502417123696066	4.77768428473254	1.77325510678187e-06	5.23989697384646e-06	Acute Phase	ENSG00000068354_TBC1D25
ENSG00000102984.15_ZNF821	94.1915040543054	0.256953366051238	0.0544568752554246	4.71847429449493	2.37619986010544e-06	6.94841474018429e-06	Acute Phase	ENSG00000102984_ZNF821
ENSG00000163866.9_SMIM12	669.217143530812	0.291001035255525	0.0262977833450158	11.0656107945569	1.8420361962639098e-28	1.9590401194672e-27	Acute Phase	ENSG00000163866_SMIM12
ENSG00000290720.1_ZNF542P	114.456498994245	0.300294113342646	0.0800501361617741	3.7513254535355	0.0001759021913789	0.0004301696605492	Acute Phase	ENSG00000290720_ZNF542P
ENSG00000182195.9_LDOC1	91.6212674739886	0.301647550963957	0.0900320650533976	3.35044576379595	0.0008068160755494	0.001821414074539	Acute Phase	ENSG00000182195_LDOC1
ENSG00000162783.11_IER5	1120.15030499053	0.331441504484858	0.0489106399151569	6.77647041747552	1.2314726190935598e-11	5.339955212309819e-11	Acute Phase	ENSG00000162783_IER5
ENSG00000134574.12_DDB2	475.47533755298	0.378038110068163	0.0437465577383718	8.64155100680234	5.54549811053519e-18	3.48003379209841e-17	Acute Phase	ENSG00000134574_DDB2
ENSG00000160789.24_LMNA	478.995741882024	0.403878171381513	0.0912393619722795	4.42657820759662	9.57396806398756e-06	2.65200265297453e-05	Acute Phase	ENSG00000160789_LMNA
ENSG00000041880.15_PARP3	190.703067961346	0.405652224683886	0.0569863133339877	7.11841494827754	1.09175272012108e-12	5.07580327227471e-12	Acute Phase	ENSG00000041880_PARP3
ENSG00000134986.14_NREP	160.870127491827	0.445772331590071	0.0629949680301369	7.07631649843545	1.48036553559913e-12	6.811800399460799e-12	Acute Phase	ENSG00000134986_NREP
ENSG00000128245.15_YWHAH	1589.1164445385	0.510600939275775	0.0450614863104346	11.3312050063812	9.19311924544614e-30	1.04799188509822e-28	Acute Phase	ENSG00000128245_YWHAH
ENSG00000196975.16_ANXA4	668.833014134769	0.585403081609962	0.043305043517499	13.5181270831285	1.22248621499967e-41	2.51627226628744e-40	Acute Phase	ENSG00000196975_ANXA4
ENSG00000109113.20_RAB34	236.241259842347	0.798103102610364	0.0604921895698943	13.1934900734286	9.565224399813969e-40	1.7868223202653e-38	Acute Phase	ENSG00000109113_RAB34
ENSG00000108798.9_ABI3	1527.65828170049	0.854462029866644	0.0726206446530937	11.7661036189968	5.8358174305371e-32	7.39398695731469e-31	Acute Phase	ENSG00000108798_ABI3
ENSG00000282899.2_E2F2	214.338465652827	1.59391301696075	0.0900543771227641	17.6994507972432	4.23416116850534e-70	3.4420323503605902e-68	Acute Phase	ENSG00000282899_E2F2
ENSG00000155659.15_VSIG4	115.313040055976	2.51915171277332	0.165931386076362	15.1818879618953	4.6616841869112406e-52	1.64353415969646e-50	Acute Phase	ENSG00000155659_VSIG4
ENSG00000154358.23_OBSCN	1077.73737180704	-1.11770350575489	0.111232893716401	-10.0483181585169	9.34486189598429e-24	8.11759871507237e-23	Mid Phase	ENSG00000154358_OBSCN
ENSG00000135046.14_ANXA1	5456.62820530809	-1.04929172987144	0.0996730208978646	-10.5273394988866	6.46355030762372e-26	6.320738639615671e-25	Mid Phase	ENSG00000135046_ANXA1
ENSG00000186462.9_NAP1L2	68.3417210263831	-0.821769408904765	0.0926145876070486	-8.87300186868427	7.12001382582896e-19	4.81517629986735e-18	Mid Phase	ENSG00000186462_NAP1L2
ENSG00000196586.17_MYO6	103.956260894259	-0.683925125697691	0.128860198123793	-5.30749708331709	1.11140783563111e-07	3.65843089774816e-07	Mid Phase	ENSG00000196586_MYO6
ENSG00000151136.15_ABTB3	335.261652825733	-0.667330035809938	0.0725589841999167	-9.19706971050325	3.67843824703044e-20	2.6651578649159504e-19	Mid Phase	ENSG00000151136_ABTB3
ENSG00000214279.13_SCART1	147.473371053841	-0.628391367304908	0.140613618083223	-4.46892254015534	7.86145907687932e-06	2.20889809472626e-05	Mid Phase	ENSG00000214279_SCART1
ENSG00000178163.8_ZNF518B	423.97596226329	-0.585818372451096	0.0464614235531463	-12.6087047630168	1.890748001237e-36	3.15564785122656e-35	Mid Phase	ENSG00000178163_ZNF518B
ENSG00000173114.13_LRRN3	255.388603887223	-0.531959476236296	0.163507809538322	-3.25341937940657	0.0011402507593137	0.0025157234119882	Mid Phase	ENSG00000173114_LRRN3
ENSG00000181847.12_TIGIT	679.418497336982	-0.518068795459527	0.0743043375979837	-6.97225508236796	3.11900352610091e-12	1.4198892242630799e-11	Mid Phase	ENSG00000181847_TIGIT
ENSG00000169918.10_OTUD7A	69.0633883057401	-0.490500116071337	0.0940961835708015	-5.212752499173	1.86059061370379e-07	6.0195084831045e-07	Mid Phase	ENSG00000169918_OTUD7A
ENSG00000159733.14_ZFYVE28	441.78814606139	-0.436415674115118	0.0689976939090972	-6.32507623646212	2.53107589424003e-10	1.01214802909654e-09	Mid Phase	ENSG00000159733_ZFYVE28
ENSG00000198682.13_PAPSS2	110.999765986163	-0.42265941647258	0.0737358044018007	-5.73207846447877	9.920735657358171e-09	3.54488561064777e-08	Mid Phase	ENSG00000198682_PAPSS2
